"Date","Plaza ID","Direction","# Vehicles - E-ZPass","# Vehicles - VToll"
"12/16/2016","1","O","38,186","8,917"
"12/15/2016","1","I","34,336","7,168"
"12/15/2016","1","O","35,841","7,608"
"12/14/2016","1","I","33,320","6,951"
"12/14/2016","1","O","37,964","7,784"
"12/13/2016","1","I","32,527","6,871"
"12/13/2016","1","O","35,578","7,460"
"12/12/2016","1","I","30,662","6,732"
"12/12/2016","1","O","34,748","7,471"
"12/11/2016","1","I","25,109","8,362"
"12/11/2016","1","O","28,933","8,973"
"12/10/2016","1","I","28,848","9,240"
"12/10/2016","1","O","31,737","10,320"
"12/09/2016","1","I","35,313","7,944"
"12/09/2016","1","O","38,942","8,990"
"12/08/2016","1","I","34,259","6,982"
"12/08/2016","1","O","38,086","7,829"
"12/07/2016","1","I","33,151","6,888"
"12/07/2016","1","O","36,319","7,562"
"12/06/2016","1","I","32,075","6,581"
"12/06/2016","1","O","35,979","7,259"
"12/05/2016","1","I","31,201","6,873"
"12/05/2016","1","O","34,727","7,483"
"12/04/2016","1","I","25,291","8,569"
"12/04/2016","1","O","28,705","9,155"
"12/03/2016","1","I","29,675","9,538"
"12/03/2016","1","O","31,854","10,415"
"12/02/2016","1","I","34,555","8,053"
"12/02/2016","1","O","38,473","9,124"
"12/01/2016","1","I","35,329","7,637"
"12/01/2016","1","O","37,058","7,911"
"11/30/2016","1","I","32,215","6,842"
"11/30/2016","1","O","36,352","7,559"
"11/29/2016","1","I","31,097","6,437"
"11/29/2016","1","O","34,872","7,404"
"11/28/2016","1","I","32,899","7,334"
"11/28/2016","1","O","36,729","8,063"
"11/27/2016","1","I","26,151","8,879"
"11/27/2016","1","O","30,995","9,601"
"11/26/2016","1","I","25,503","8,793"
"11/26/2016","1","O","30,016","10,053"
"11/25/2016","1","I","25,443","7,960"
"11/25/2016","1","O","29,194","9,354"
"11/24/2016","1","I","31,190","10,008"
"11/24/2016","1","O","30,078","10,016"
"11/23/2016","1","I","35,705","8,274"
"11/23/2016","1","O","33,979","8,484"
"11/22/2016","1","I","36,240","7,647"
"11/22/2016","1","O","39,505","8,425"
"11/21/2016","1","I","32,598","7,233"
"11/21/2016","1","O","35,910","8,059"
"11/20/2016","1","I","26,168","9,033"
"11/20/2016","1","O","28,539","9,494"
"11/19/2016","1","I","31,798","10,285"
"11/19/2016","1","O","34,762","11,087"
"11/18/2016","1","I","36,530","8,294"
"11/18/2016","1","O","38,942","9,350"
"11/17/2016","1","I","34,442","7,490"
"11/17/2016","1","O","37,926","8,080"
"11/16/2016","1","I","34,263","7,157"
"11/16/2016","1","O","36,970","7,738"
"11/15/2016","1","I","30,860","6,398"
"11/15/2016","1","O","34,427","7,230"
"11/14/2016","1","I","31,682","6,880"
"11/14/2016","1","O","35,870","7,785"
"11/13/2016","1","I","28,807","9,369"
"11/13/2016","1","O","35,967","10,716"
"11/12/2016","1","I","31,017","9,862"
"11/12/2016","1","O","34,133","10,994"
"11/11/2016","1","I","34,148","8,471"
"11/11/2016","1","O","34,481","9,006"
"11/10/2016","1","I","34,070","7,232"
"11/10/2016","1","O","37,126","7,952"
"11/09/2016","1","I","32,653","6,716"
"11/09/2016","1","O","37,624","7,561"
"11/08/2016","1","I","29,819","6,603"
"11/08/2016","1","O","34,711","7,405"
"11/07/2016","1","I","32,375","7,243"
"11/07/2016","1","O","34,229","7,605"
"11/06/2016","1","I","28,409","10,356"
"11/06/2016","1","O","30,375","10,474"
"11/05/2016","1","I","32,060","10,278"
"11/05/2016","1","O","35,193","11,477"
"11/04/2016","1","I","35,495","8,328"
"11/04/2016","1","O","39,113","9,260"
"11/03/2016","1","I","34,470","7,295"
"11/03/2016","1","O","36,869","7,897"
"11/02/2016","1","I","33,457","6,944"
"11/02/2016","1","O","36,993","7,688"
"11/01/2016","1","I","33,423","7,205"
"11/01/2016","1","O","34,399","7,538"
"10/31/2016","1","I","30,957","7,162"
"10/31/2016","1","O","34,321","7,699"
"10/30/2016","1","I","26,962","9,431"
"10/30/2016","1","O","34,213","10,877"
"10/29/2016","1","I","31,638","10,099"
